DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Type_Count,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
DP/JO/378,JO,378,C/EGD/1368,New name,96,Katharine,jhm,10/19/2001 10:55,jhm,10/19/2001 10:55
DP/JO/379,JO,379,C/EGD/1375,Anti-baptism,215,,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/380,JO,380,C/EGD/1375,Head and foot,68,,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/381,JO,381,C/EGD/1375,Body and soul,60,,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/382,JO,382,C/EGD/1375,New name,96,Elisabeth,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/383,JO,383,C/EGD/1375,Sex,133,nature cold,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/384,JO,384,C/EGD/1375,Servant,123,,jhm,10/19/2001 12:05,jhm,10/19/2001 12:05
DP/JO/385,JO,385,C/EGD/1372,Servant,123,,jhm,10/19/2001 12:20,jhm,10/19/2001 12:20
DP/JO/386,JO,386,C/EGD/1372,Head and foot,68,,jhm,10/19/2001 12:20,jhm,10/19/2001 12:20
DP/JO/387,JO,387,C/EGD/1372,Body and soul,60,,jhm,10/19/2001 12:20,jhm,10/19/2001 12:20
DP/JO/388,JO,388,C/EGD/1372,New name,96,Madge,jhm,10/19/2001 12:20,jhm,10/19/2001 12:20
DP/JO/389,JO,389,C/EGD/1373,Servant,123,,jhm,10/19/2001 12:38,jhm,10/19/2001 12:38
DP/JO/390,JO,390,C/EGD/1373,Anti-baptism,215,,jhm,10/19/2001 12:38,jhm,10/19/2001 12:38
DP/JO/391,JO,391,C/EGD/1373,Head and foot,68,,jhm,10/19/2001 12:38,jhm,10/19/2001 12:38
DP/JO/392,JO,392,C/EGD/1373,Want nothing,43,,jhm,10/19/2001 12:38,jhm,10/19/2001 12:39
DP/JO/393,JO,393,C/EGD/1373,Sex,133,cold nature,jhm,10/19/2001 12:39,jhm,10/19/2001 12:41
DP/JO/394,JO,394,C/EGD/1373,New name,96,Magie,jhm,10/19/2001 12:39,jhm,10/19/2001 12:39
DP/JO/395,JO,395,C/JO/2905,Anti-baptism,215,,jhm,10/19/2001 12:59,jhm,10/19/2001 12:59
DP/JO/396,JO,396,C/JO/2905,Body and soul,60,,jhm,10/19/2001 12:59,jhm,10/19/2001 12:59
DP/JO/397,JO,397,C/JO/2905,Head and foot,68,,jhm,10/19/2001 12:59,jhm,10/19/2001 12:59
DP/JO/398,JO,398,C/JO/2905,Sex,133,nature cold,jhm,10/19/2001 12:59,jhm,10/19/2001 13:00
DP/JO/399,JO,399,C/JO/2905,Servant,123,,jhm,10/19/2001 13:00,jhm,10/19/2001 13:00
DP/JO/400,JO,400,C/EGD/1374,Anti-baptism,215,,jhm,10/19/2001 13:08,jhm,10/19/2001 13:08
